alpha beta ele Cz
20 -4 -10 -1.306
25 -4 -10 -1.59
30 -4 -10 -1.861
35 -4 -10 -2.064
40 -4 -10 -2.184
45 -4 -10 -2.216
50 -4 -10 -2.033
55 -4 -10 -2.1
60 -4 -10 -1.99
70 -4 -10 -1.999
80 -4 -10 -1.981
90 -4 -10 -2.007
-20 -2 -10 1.234
-15 -2 -10 1.05
-10 -2 -10 0.812
-5 -2 -10 0.357
0 -2 -10 0.061
5 -2 -10 -0.287
10 -2 -10 -0.65
15 -2 -10 -0.977
20 -2 -10 -1.302
25 -2 -10 -1.595
30 -2 -10 -1.861
35 -2 -10 -2.079
40 -2 -10 -2.199
45 -2 -10 -2.306
50 -2 -10 -2.031
55 -2 -10 -2.058
60 -2 -10 -2.005
70 -2 -10 -1.986
80 -2 -10 -1.892
90 -2 -10 -2.019
-20 0 -10 1.228
-15 0 -10 1.059
-10 0 -10 0.815
-5 0 -10 0.356
0 0 -10 0.064
5 0 -10 -0.287
10 0 -10 -0.65
15 0 -10 -0.98
20 0 -10 -1.306
25 0 -10 -1.594
30 0 -10 -1.863
35 0 -10 -2.09
40 0 -10 -2.216
45 0 -10 -2.263
50 0 -10 -2.097
55 0 -10 -2.088
60 0 -10 -2.051
70 0 -10 -2.027
80 0 -10 -1.916
90 0 -10 -1.998
-20 2 -10 1.258
-15 2 -10 1.066
-10 2 -10 0.813
-5 2 -10 0.352
0 2 -10 0.062
5 2 -10 -0.289
10 2 -10 -0.651
15 2 -10 -0.98
20 2 -10 -1.292
25 2 -10 -1.597
30 2 -10 -1.863
35 2 -10 -2.081
40 2 -10 -2.192
45 2 -10 -2.304
50 2 -10 -2.118
55 2 -10 -2.067
60 2 -10 -2.021
70 2 -10 -1.943
80 2 -10 -1.938
90 2 -10 -1.99
-20 4 -10 1.257
-15 4 -10 1.048
-10 4 -10 0.805
-5 4 -10 0.349
0 4 -10 0.061
5 4 -10 -0.291
10 4 -10 -0.646
15 4 -10 -0.978
20 4 -10 -1.289
25 4 -10 -1.595
30 4 -10 -1.856
35 4 -10 -2.075
40 4 -10 -2.194
45 4 -10 -2.304
50 4 -10 -2.131
55 4 -10 -1.972
60 4 -10 -1.914
70 4 -10 -1.835
80 4 -10 -1.856
90 4 -10 -2.004
-20 6 -10 1.268
-15 6 -10 1.051
-10 6 -10 0.804
-5 6 -10 0.343
0 6 -10 0.058
5 6 -10 -0.289
10 6 -10 -0.642
15 6 -10 -0.977
20 6 -10 -1.287
25 6 -10 -1.595
30 6 -10 -1.836
35 6 -10 -2.067
40 6 -10 -2.084
45 6 -10 -2.242
50 6 -10 -2.142
55 6 -10 -2.016
60 6 -10 -1.956
70 6 -10 -1.925
80 6 -10 -1.943
90 6 -10 -2.036
-20 8 -10 1.265
-15 8 -10 1.04
-10 8 -10 0.8
-5 8 -10 0.337
0 8 -10 0.053
5 8 -10 -0.291
10 8 -10 -0.638
15 8 -10 -0.963
20 8 -10 -1.279
25 8 -10 -1.584
30 8 -10 -1.816
35 8 -10 -2.034
40 8 -10 -2.11
45 8 -10 -2.235
50 8 -10 -2.062
55 8 -10 -2.019
60 8 -10 -1.998
70 8 -10 -1.993
80 8 -10 -1.947
90 8 -10 -2.102
-20 10 -10 1.236
-15 10 -10 1.053
-10 10 -10 0.797
-5 10 -10 0.328
0 10 -10 0.047
5 10 -10 -0.293
10 10 -10 -0.635
15 10 -10 -0.951
20 10 -10 -1.266
25 10 -10 -1.566
30 10 -10 -1.795
35 10 -10 -1.989
40 10 -10 -2.111
45 10 -10 -2.21
50 10 -10 -2.129
55 10 -10 -2.025
60 10 -10 -1.985
70 10 -10 -1.921
80 10 -10 -1.848
90 10 -10 -2.003
-20 15 -10 1.196
-15 15 -10 1.051
-10 15 -10 0.776
-5 15 -10 0.317
0 15 -10 0.035
5 15 -10 -0.292
10 15 -10 -0.622
15 15 -10 -0.923
20 15 -10 -1.22
25 15 -10 -1.505
30 15 -10 -1.735
35 15 -10 -1.896
40 15 -10 -1.996
45 15 -10 -2.121
50 15 -10 -2.047
55 15 -10 -1.82
60 15 -10 -1.792
70 15 -10 -1.863
80 15 -10 -1.911
90 15 -10 -1.976
-20 20 -10 1.154
-15 20 -10 1.031
-10 20 -10 0.769
-5 20 -10 0.309
0 20 -10 0.049
5 20 -10 -0.275
10 20 -10 -0.587
15 20 -10 -0.864
20 20 -10 -1.146
25 20 -10 -1.445
30 20 -10 -1.613
35 20 -10 -1.8
40 20 -10 -1.9
45 20 -10 -1.891
50 20 -10 -1.819
55 20 -10 -1.732
60 20 -10 -1.836
70 20 -10 -1.893
80 20 -10 -1.899
90 20 -10 -1.947
-20 25 -10 1.109
-15 25 -10 0.999
-10 25 -10 0.765
-5 25 -10 0.295
0 25 -10 0.044
5 25 -10 -0.244
10 25 -10 -0.524
15 25 -10 -0.79
20 25 -10 -1.09
25 25 -10 -1.374
30 25 -10 -1.557
35 25 -10 -1.696
40 25 -10 -1.787
45 25 -10 -1.654
50 25 -10 -1.695
55 25 -10 -1.749
60 25 -10 -1.829
70 25 -10 -1.836
80 25 -10 -1.913
90 25 -10 -2.006
-20 30 -10 1.063
-15 30 -10 0.955
-10 30 -10 0.747
-5 30 -10 0.306
0 30 -10 0.076
5 30 -10 -0.205
10 30 -10 -0.463
15 30 -10 -0.717
20 30 -10 -1.005
25 30 -10 -1.307
30 30 -10 -1.47
35 30 -10 -1.613
40 30 -10 -1.702
45 30 -10 -1.696
50 30 -10 -1.509
55 30 -10 -1.669
60 30 -10 -1.76
70 30 -10 -1.825
80 30 -10 -1.855
90 30 -10 -1.987
-20 -30 0 1.091
-15 -30 0 0.905
-10 -30 0 0.713
-5 -30 0 0.265
0 -30 0 -0.006
5 -30 0 -0.275
10 -30 0 -0.55
15 -30 0 -0.825
20 -30 0 -1.115
25 -30 0 -1.375
30 -30 0 -1.52
35 -30 0 -1.555
40 -30 0 -1.715
45 -30 0 -1.625
50 -30 0 -1.57
55 -30 0 -1.775
60 -30 0 -1.9
70 -30 0 -1.93
80 -30 0 -2
90 -30 0 -1.96
-20 -25 0 1.14
-15 -25 0 0.939
-10 -25 0 0.718
-5 -25 0 0.265
0 -25 0 -0.03
5 -25 0 -0.315
10 -25 0 -0.62
15 -25 0 -0.91
20 -25 0 -1.2
25 -25 0 -1.44
30 -25 0 -1.615
35 -25 0 -1.665
40 -25 0 -1.83
45 -25 0 -1.57
50 -25 0 -1.735
55 -25 0 -1.9
60 -25 0 -1.935
70 -25 0 -1.945
80 -25 0 -2.045
90 -25 0 -1.95
