alpha beta ele Cx
5 -8 0 -0.0042
10 -8 0 0.0508
15 -8 0 0.1051
20 -8 0 0.1308
25 -8 0 0.1378
30 -8 0 0.1504
35 -8 0 0.1391
40 -8 0 0.1376
45 -8 0 0.1324
50 -8 0 0.1279
55 -8 0 0.1211
60 -8 0 0.1123
70 -8 0 0.0919
80 -8 0 0.0793
90 -8 0 0.0843
-20 -6 0 -0.0978
-15 -6 0 -0.096
-10 -6 0 -0.0907
-5 -6 0 -0.0767
0 -6 0 -0.0469
5 -6 0 -0.0049
10 -6 0 0.0499
15 -6 0 0.1069
20 -6 0 0.1311
25 -6 0 0.1378
30 -6 0 0.154
35 -6 0 0.1532
40 -6 0 0.1479
45 -6 0 0.1308
50 -6 0 0.1279
55 -6 0 0.1211
60 -6 0 0.1181
70 -6 0 0.115
80 -6 0 0.0805
90 -6 0 0.0853
-20 -4 0 -0.0959
-15 -4 0 -0.0967
-10 -4 0 -0.0918
-5 -4 0 -0.0778
0 -4 0 -0.0478
5 -4 0 -0.0055
10 -4 0 0.0509
15 -4 0 0.1079
20 -4 0 0.131
25 -4 0 0.1346
30 -4 0 0.1545
35 -4 0 0.1599
40 -4 0 0.1516
45 -4 0 0.1332
50 -4 0 0.1258
55 -4 0 0.1195
60 -4 0 0.1184
70 -4 0 0.1087
80 -4 0 0.0846
90 -4 0 0.0841
-20 -2 0 -0.0932
-15 -2 0 -0.0974
-10 -2 0 -0.0929
-5 -2 0 -0.078
0 -2 0 -0.0485
5 -2 0 -0.0071
10 -2 0 0.0497
15 -2 0 0.1078
20 -2 0 0.1286
25 -2 0 0.1322
30 -2 0 0.1548
35 -2 0 0.1611
40 -2 0 0.1552
45 -2 0 0.1378
50 -2 0 0.1257
55 -2 0 0.1183
60 -2 0 0.117
70 -2 0 0.1089
80 -2 0 0.0808
90 -2 0 0.0858
-20 0 0 -0.0933
-15 0 0 -0.0978
-10 0 0 -0.0982
-5 0 0 -0.0784
0 0 0 -0.0489
5 0 0 -0.0066
10 0 0 0.049
15 0 0 0.1072
20 0 0 0.1283
25 0 0 0.13
30 0 0 0.1536
35 0 0 0.1605
40 0 0 0.1552
45 0 0 0.1382
50 0 0 0.1281
55 0 0 0.12
60 0 0 0.1147
70 0 0 0.1025
80 0 0 0.0821
90 0 0 0.0864
-20 2 0 -0.0956
-15 2 0 -0.0975
-10 2 0 -0.093
-5 2 0 -0.0776
0 2 0 -0.0483
5 2 0 -0.0072
10 2 0 0.049
15 2 0 0.1076
20 2 0 0.1293
25 2 0 0.1311
30 2 0 0.1525
35 2 0 0.1603
40 2 0 0.1564
45 2 0 0.1375
50 2 0 0.1258
55 2 0 0.1185
60 2 0 0.1141
70 2 0 0.1022
80 2 0 0.0802
90 2 0 0.0857
-20 4 0 -0.0957
-15 4 0 -0.0977
-10 4 0 -0.0919
-5 4 0 -0.0766
0 4 0 -0.0475
5 4 0 -0.0061
10 4 0 0.05
15 4 0 0.1072
20 4 0 0.1299
25 4 0 0.1336
30 4 0 0.1528
35 4 0 0.1614
40 4 0 0.1525
45 4 0 0.1364
50 4 0 0.1228
55 4 0 0.1153
60 4 0 0.1126
70 4 0 0.1007
80 4 0 0.0799
90 4 0 0.0828
-20 6 0 -0.0962
-15 6 0 -0.0972
-10 6 0 -0.0912
-5 6 0 -0.075
0 6 0 -0.0467
5 6 0 -0.005
10 6 0 0.0506
15 6 0 0.1063
20 6 0 0.1304
25 6 0 0.135
30 6 0 0.1509
35 6 0 0.1592
40 6 0 0.1464
45 6 0 0.134
50 6 0 0.1221
55 6 0 0.116
60 6 0 0.1129
70 6 0 0.1012
80 6 0 0.0826
90 6 0 0.0817
-20 8 0 -0.0967
-15 8 0 -0.0968
-10 8 0 -0.0898
-5 8 0 -0.0733
0 8 0 -0.0449
5 8 0 -0.0035
10 8 0 0.0505
15 8 0 0.1053
20 8 0 0.1271
25 8 0 0.1335
30 8 0 0.15
35 8 0 0.1559
40 8 0 0.1456
45 8 0 0.1308
50 8 0 0.1186
55 8 0 0.1152
60 8 0 0.1129
70 8 0 0.0994
80 8 0 0.08
90 8 0 0.0857
-20 10 0 -0.0992
-15 10 0 -0.0974
-10 10 0 -0.0904
-5 10 0 -0.0703
0 10 0 -0.0433
5 10 0 -0.0027
10 10 0 0.0503
15 10 0 0.1028
20 10 0 0.1259
25 10 0 0.1332
30 10 0 0.1478
35 10 0 0.1485
40 10 0 0.1413
45 10 0 0.128
50 10 0 0.118
55 10 0 0.1135
60 10 0 0.1109
70 10 0 0.0952
80 10 0 0.0709
90 10 0 0.0816
-20 15 0 -0.1004
-15 15 0 -0.1006
-10 15 0 -0.0914
-5 15 0 -0.0638
0 15 0 -0.0399
5 15 0 0.0013
10 15 0 0.049
15 15 0 0.0979
20 15 0 0.1182
25 15 0 0.1321
30 15 0 0.1415
35 15 0 0.1339
40 15 0 0.1272
45 15 0 0.1192
50 15 0 0.1108
55 15 0 0.1087
60 15 0 0.1049
70 15 0 0.0897
80 15 0 0.0756
90 15 0 0.0797
-20 20 0 -0.1037
-15 20 0 -0.1033
-10 20 0 -0.0911
-5 20 0 -0.0613
0 20 0 -0.0387
5 20 0 0.0019
10 20 0 0.0458
15 20 0 0.0932
20 20 0 0.1191
25 20 0 0.1333
30 20 0 0.1275
35 20 0 0.1261
40 20 0 0.1181
45 20 0 0.1189
50 20 0 0.1121
55 20 0 0.1072
60 20 0 0.1094
70 20 0 0.0958
80 20 0 0.0765
90 20 0 0.0771
-20 25 0 -0.0969
-15 25 0 -0.1043
-10 25 0 -0.0909
-5 25 0 -0.0573
0 25 0 -0.0364
5 25 0 0
10 25 0 0.0419
15 25 0 0.0845
