alpha beta ele Cm
60 -6 0 -0.1118
70 -6 0 -0.2706
80 -6 0 -0.4804
90 -6 0 -0.6053
-20 -4 0 0.0062
-15 -4 0 -0.059
-10 -4 0 -0.07
-5 -4 0 -0.0802
0 -4 0 -0.0615
5 -4 0 -0.0501
10 -4 0 -0.0457
15 -4 0 -0.0456
20 -4 0 -0.0463
25 -4 0 -0.052
30 -4 0 -0.05
35 -4 0 -0.0572
40 -4 0 -0.0789
45 -4 0 -0.0966
50 -4 0 -0.089
55 -4 0 -0.0663
60 -4 0 -0.1094
70 -4 0 -0.2967
80 -4 0 -0.4869
90 -4 0 -0.6281
-20 -2 0 0.0114
-15 -2 0 -0.0674
-10 -2 0 -0.0813
-5 -2 0 -0.0774
0 -2 0 -0.0605
5 -2 0 -0.0499
10 -2 0 -0.0444
15 -2 0 -0.0419
20 -2 0 -0.0384
25 -2 0 -0.0499
30 -2 0 -0.0471
35 -2 0 -0.0567
40 -2 0 -0.082
45 -2 0 -0.0862
50 -2 0 -0.0913
55 -2 0 -0.083
60 -2 0 -0.1266
70 -2 0 -0.2944
80 -2 0 -0.4605
90 -2 0 -0.6217
-20 0 0 0.0127
-15 0 0 -0.0755
-10 0 0 -0.1025
-5 0 0 -0.0744
0 0 0 -0.0598
5 0 0 -0.0498
10 0 0 -0.0437
15 0 0 -0.0407
20 0 0 -0.0342
25 0 0 -0.0507
30 0 0 -0.0459
35 0 0 -0.0605
40 0 0 -0.0835
45 0 0 -0.0923
50 0 0 -0.0826
55 0 0 -0.0738
60 0 0 -0.1414
70 0 0 -0.3216
80 0 0 -0.4678
90 0 0 -0.6184
-20 2 0 0.0001
-15 2 0 -0.0712
-10 2 0 -0.0793
-5 2 0 -0.0774
0 2 0 -0.06
5 2 0 -0.05
10 2 0 -0.0448
15 2 0 -0.041
20 2 0 -0.0329
25 2 0 -0.0501
30 2 0 -0.051
35 2 0 -0.0605
40 2 0 -0.0917
45 2 0 -0.0975
50 2 0 -0.0898
55 2 0 -0.0851
60 2 0 -0.1436
70 2 0 -0.3252
80 2 0 -0.4883
90 2 0 -0.6163
-20 4 0 0.0023
-15 4 0 -0.06
-10 4 0 -0.0673
-5 4 0 -0.0782
0 4 0 -0.0606
5 4 0 -0.0518
10 4 0 -0.0458
15 4 0 -0.0422
20 4 0 -0.0366
25 4 0 -0.0506
30 4 0 -0.052
35 4 0 -0.0625
40 4 0 -0.0971
45 4 0 -0.108
50 4 0 -0.1112
