alpha beta ele Cn
35 15 25 -0.0523
40 15 25 -0.0877
45 15 25 -0.0868
50 15 25 -0.0619
55 15 25 -0.0361
60 15 25 -0.0262
70 15 25 -0.0099
80 15 25 -0.0136
90 15 25 -0.0015
-20 20 25 0.0378
-15 20 25 0.0406
-10 20 25 0.0479
-5 20 25 0.0653
0 20 25 0.0702
5 20 25 0.0704
10 20 25 0.0662
15 20 25 0.0505
20 20 25 0.0304
25 20 25 0.0232
30 20 25 -0.014
35 20 25 -0.0469
40 20 25 -0.0785
45 20 25 -0.0544
50 20 25 -0.0381
55 20 25 -0.0614
60 20 25 -0.0444
70 20 25 -0.0231
80 20 25 -0.0159
90 20 25 -0.0097
-20 25 25 0.045
-15 25 25 0.0467
-10 25 25 0.0537
-5 25 25 0.075
0 25 25 0.083
5 25 25 0.0796
10 25 25 0.0731
15 25 25 0.0538
20 25 25 0.0419
25 25 25 0.031
30 25 25 -0.0006
35 25 25 -0.0252
40 25 25 -0.0196
45 25 25 -0.0311
50 25 25 -0.0276
55 25 25 -0.0232
60 25 25 -0.0198
70 25 25 -0.0249
80 25 25 -0.0159
