alpha beta ele Cl
15 25 0 -0.0664
20 25 0 -0.0802
25 25 0 -0.079
30 25 0 -0.0685
35 25 0 -0.0649
40 25 0 -0.07
45 25 0 -0.0602
50 25 0 -0.0479
55 25 0 -0.0453
60 25 0 -0.0467
70 25 0 -0.0526
80 25 0 -0.0514
90 25 0 -0.0493
-20 30 0 0.024
-15 30 0 0.0135
-10 30 0 0.0111
-5 30 0 -0.0096
0 30 0 -0.0155
5 30 0 -0.0316
10 30 0 -0.0503
15 30 0 -0.0715
20 30 0 -0.0882
25 30 0 -0.0884
30 30 0 -0.1001
35 30 0 -0.0828
40 30 0 -0.0844
45 30 0 -0.0772
50 30 0 -0.0602
55 30 0 -0.0618
60 30 0 -0.0636
70 30 0 -0.0651
80 30 0 -0.0643
90 30 0 -0.066
-20 -30 25 -0.0114
-15 -30 25 -0.0051
-10 -30 25 0.0008
-5 -30 25 0.0172
0 -30 25 0.0272
5 -30 25 0.0434
10 -30 25 0.0628
15 -30 25 0.0778
20 -30 25 0.0853
25 -30 25 0.091
30 -30 25 0.0802
35 -30 25 0.0682
40 -30 25 0.0634
45 -30 25 0.0767
50 -30 25 0.0611
55 -30 25 0.0555
60 -30 25 0.0578
70 -30 25 0.0658
80 -30 25 0.0666
90 -30 25 0.0603
-20 -25 25 0.0015
-15 -25 25 0.0043
-10 -25 25 0.0082
-5 -25 25 0.0197
0 -25 25 0.0266
5 -25 25 0.0383
10 -25 25 0.0602
15 -25 25 0.0698
20 -25 25 0.0817
25 -25 25 0.0778
30 -25 25 0.0463
35 -25 25 0.0494
40 -25 25 0.0544
45 -25 25 0.0614
50 -25 25 0.0511
55 -25 25 0.0415
60 -25 25 0.0395
70 -25 25 0.0506
80 -25 25 0.0534
90 -25 25 0.0482
-20 -20 25 0.013
-15 -20 25 0.015
-10 -20 25 0.0139
-5 -20 25 0.0187
0 -20 25 0.025
5 -20 25 0.0362
10 -20 25 0.0557
15 -20 25 0.0625
20 -20 25 0.0717
25 -20 25 0.0653
30 -20 25 0.0205
35 -20 25 0.0279
40 -20 25 0.0258
45 -20 25 0.04
50 -20 25 0.0385
55 -20 25 0.0337
60 -20 25 0.0288
70 -20 25 0.0362
80 -20 25 0.0408
90 -20 25 0.0403
-20 -15 25 0.0251
-15 -15 25 0.0219
-10 -15 25 0.0159
-5 -15 25 0.0205
0 -15 25 0.022
5 -15 25 0.0292
10 -15 25 0.046
15 -15 25 0.0546
20 -15 25 0.0581
25 -15 25 0.0542
30 -15 25 0.0052
35 -15 25 0.0002
40 -15 25 0.0011
45 -15 25 0.0315
50 -15 25 0.0318
55 -15 25 0.0228
60 -15 25 0.023
70 -15 25 0.0228
80 -15 25 0.0315
90 -15 25 0.0301
-20 -10 25 0.0272
-15 -10 25 0.0167
-10 -10 25 0.0147
-5 -10 25 0.0182
0 -10 25 0.0193
5 -10 25 0.0227
10 -10 25 0.0337
15 -10 25 0.0437
20 -10 25 0.045
25 -10 25 0.0324
30 -10 25 -0.0035
35 -10 25 -0.0099
40 -10 25 -0.0041
45 -10 25 0.0176
50 -10 25 0.0184
55 -10 25 0.0095
60 -10 25 0.0186
70 -10 25 0.0189
80 -10 25 0.0207
90 -10 25 0.0207
-20 -8 25 0.0169
-15 -8 25 0.0115
-10 -8 25 0.0116
-5 -8 25 0.0143
0 -8 25 0.0152
5 -8 25 0.0187
10 -8 25 0.0272
15 -8 25 0.0374
20 -8 25 0.0355
25 -8 25 0.0232
30 -8 25 0.0123
35 -8 25 -0.0146
40 -8 25 -0.0008
45 -8 25 0.0152
50 -8 25 0.0169
55 -8 25 0.0124
60 -8 25 0.0132
70 -8 25 0.0179
